# Time(s) Gyro_X Gyro_Y Gyro_Z Acc_X Acc_Y Acc_Z
2.110000 0.00057312 -0.00051210 -0.00245486 0.023943 -0.015733 -10.290554
2.120000 0.00182317 0.00057332 -0.00208996 0.008877 -0.038490 -10.285031
2.130000 -0.00029508 0.00016422 0.00086902 0.026742 -0.016270 -10.285904
2.140000 0.00074041 -0.00100314 -0.00104574 0.012685 -0.022055 -10.305091
2.150000 0.00072728 -0.00219689 -0.00085429 0.025676 -0.030830 -10.304320
2.160000 0.00076907 0.00119621 0.00104896 0.022897 -0.027042 -10.303253
2.170000 0.00212657 0.00023111 -0.00190653 -0.002116 -0.008942 -10.303528
2.180000 0.00357336 0.00055922 -0.00078607 0.009007 -0.027950 -10.300832
2.190000 0.00097587 0.00069808 -0.00094436 0.004198 0.004424 -10.320497
2.200000 0.00042634 -0.00004686 -0.00083275 0.015494 -0.013931 -10.304404
2.210000 0.00045658 -0.00021285 -0.00069357 0.022121 -0.022996 -10.281349
2.220000 0.00074502 0.00200399 -0.00345097 0.008811 -0.038512 -10.309635
2.230000 0.00209151 0.00174609 -0.00287339 0.023865 -0.016179 -10.289129
2.240000 0.00065731 0.00012856 -0.00220751 0.025017 -0.021363 -10.301541
2.250000 0.00022218 -0.00061058 0.00095227 0.016147 0.003843 -10.289742
2.260000 0.00193568 0.00177156 -0.00007833 0.038917 -0.006592 -10.297286
2.270000 -0.00012905 -0.00002452 -0.00031063 0.009806 -0.012985 -10.297259
2.280000 -0.00022213 0.00121300 -0.00104033 0.019064 -0.017091 -10.317175
2.290000 0.00062518 0.00121096 -0.00035574 0.032608 -0.015505 -10.310793
2.300000 0.00063903 0.00165933 -0.00188106 0.024818 -0.023558 -10.291029
2.310000 0.00161594 0.00109310 -0.00110955 0.028817 -0.004804 -10.298259
2.320000 0.00132613 -0.00075111 0.00012403 0.015862 -0.021255 -10.303876
2.330000 0.00081510 -0.00002272 0.00024901 0.019828 -0.017093 -10.304903
2.340000 0.00029566 -0.00090846 -0.00235663 0.008562 -0.016088 -10.300992
2.350000 0.00160601 -0.00078043 0.00095479 0.008586 -0.006694 -10.278929
2.360000 -0.00108193 0.00219646 -0.00058898 0.029626 -0.022202 -10.297152
2.370000 0.00090329 -0.00004492 -0.00040086 0.035404 -0.026737 -10.288824
2.380000 0.00096237 0.00160330 -0.00068577 0.005519 0.001840 -10.300953
2.390000 0.00115030 0.00013639 -0.00085695 0.042290 0.002281 -10.297714
2.400000 0.00130780 -0.00121017 -0.00214819 0.012806 -0.013052 -10.298452
2.410000 0.00174326 0.00067087 -0.00098398 0.015984 -0.031581 -10.301796
2.420000 0.00101843 0.00084758 -0.00133976 0.008895 -0.009484 -10.286739
2.430000 0.00022170 0.00069585 -0.00177837 0.027407 -0.011576 -10.305179
2.440000 0.00140825 -0.00120258 0.00022916 0.022054 -0.007072 -10.302512
2.450000 0.00147260 0.00075603 0.00018269 0.021190 -0.016455 -10.280026
2.460000 0.00266547 0.00151437 -0.00264087 0.028515 -0.008908 -10.313817
2.470000 -0.00027958 -0.00012482 -0.00077391 0.021728 -0.016550 -10.298287
2.480000 0.00151766 -0.00022574 -0.00061323 0.004366 -0.025878 -10.297330
2.490000 0.00024462 -0.00011152 -0.00220666 0.031144 -0.020905 -10.300649
2.500000 0.00007677 -0.00085168 -0.00177587 0.037811 -0.017968 -10.297938
2.510000 0.00205364 -0.00044940 0.00183238 0.018848 -0.028455 -10.290932
2.520000 0.00149332 0.00068484 -0.00165836 0.013471 -0.015301 -10.292206
2.530000 0.00170031 -0.00007564 -0.00067799 0.039426 -0.028178 -10.288000
2.540000 0.00356008 0.00040394 0.00034927 0.028687 -0.021382 -10.290655
2.550000 0.00029682 0.00046501 0.00097080 0.036434 -0.022650 -10.294235
2.560000 0.00037303 0.00231245 -0.00009225 0.024048 -0.009658 -10.288957
2.570000 0.00043753 0.00113241 0.00017255 0.021663 -0.009866 -10.305765
2.580000 0.00162181 -0.00107022 -0.00152714 0.021640 -0.019763 -10.308948
2.590000 0.00075248 0.00042557 -0.00017933 0.014909 -0.012305 -10.292292
2.600000 0.00117770 -0.00083534 -0.00041980 0.007315 -0.024377 -10.289403
2.610000 0.00161059 0.00105979 0.00028078 0.025081 -0.006129 -10.282972
2.620000 0.00183392 0.00095918 -0.00087017 0.025379 -0.019148 -10.295502
2.630000 -0.00066096 0.00092962 -0.00059231 0.036599 0.012644 -10.292019
2.640000 0.00127158 -0.00077675 -0.00188106 0.025356 -0.007743 -10.296412
2.650000 0.00205315 0.00046044 -0.00011850 0.031639 -0.004920 -10.293106
2.660000 0.00102832 0.00052976 0.00013828 0.016820 -0.030207 -10.289326
2.670000 0.00048396 0.00059612 -0.00126228 0.022129 -0.022378 -10.307949
2.680000 0.00056550 0.00019083 -0.00057787 0.026614 -0.031012 -10.293654
2.690000 0.00052125 0.00175576 -0.00169461 0.028436 -0.009501 -10.300557
2.700000 0.00081313 0.00006027 0.00064698 0.007506 -0.009130 -10.284645
2.710000 0.00119655 0.00153184 -0.00228556 0.014273 -0.009931 -10.280835
2.720000 0.00126705 0.00138963 -0.00071772 0.023388 -0.018969 -10.286241
2.730000 0.00206548 -0.00001729 0.00060935 0.012624 -0.027982 -10.288527
2.740000 0.00329890 0.00013716 -0.00124550 0.015938 -0.018165 -10.302919
2.750000 0.00245338 0.00207957 -0.00132286 0.015272 -0.000970 -10.280025
2.760000 0.00057981 0.00021822 -0.00214445 0.037950 -0.004099 -10.291987
2.770000 0.00008135 -0.00050414 -0.00156780 0.005677 -0.016875 -10.275082
2.780000 0.00096532 0.00073421 0.00075050 0.015644 0.000141 -10.296100
2.790000 0.00000165 0.00148432 -0.00101399 -0.006781 -0.008595 -10.283987
2.800000 0.00095054 0.00117482 -0.00192272 0.019510 -0.002669 -10.313328
2.810000 0.00138241 0.00066645 -0.00030755 0.006144 -0.012951 -10.291879
2.820000 0.00128917 0.00295530 -0.00143774 0.033566 -0.008611 -10.308586
2.830000 0.00046900 -0.00012314 -0.00135548 0.022130 -0.008993 -10.315392
2.840000 0.00036261 0.00168902 0.00062050 0.019564 -0.018356 -10.303197
